machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_case_cx25,case-cx25,Case,CX25,partial,300x52.5Nx76,,1,1,missing_hero
mdl_case_cx26,case-cx26,Case,CX26,partial,300x52.5Nx76,,1,0,missing_hero
mdl_case_cx26c,case-cx26c,Case,CX26C,ready,300x52.5Nx78,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx26c-hero.webp,1,0,
mdl_case_cx27b,case-cx27b,Case,CX27B,partial,300x52.5Nx80,,3,3,missing_hero
mdl_case_cx28,case-cx28,Case,CX28,partial,300x52.5Nx78,,2,2,missing_hero
mdl_case_cx30,case-cx30,Case,CX30,partial,300x52.5Nx80,,3,0,missing_hero
mdl_case_cx30c,case-cx30c,Case,CX30C,review,300x52.5Nx80,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx30c-hero.webp,0,0,no_products
mdl_case_cx33c,case-cx33c,Case,CX33C,partial,300x52.5x86,,3,1,missing_hero
mdl_case_cx35,case-cx35,Case,CX35,partial,300x52.5x86,,6,3,missing_hero
mdl_case_cx36,case-cx36,Case,CX36,partial,300x52.5Kx88,,1,3,missing_hero
mdl_case_cx36b,case-cx36b,Case,CX36B,partial,300x52.5Kx88,,1,6,missing_hero
mdl_case_cx37c,case-cx37c,Case,CX37C,ready,300x52.5x86,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx37c-hero.webp,1,2,
mdl_case_cx39b,case-cx39b,Case,CX39B,review,300x52.5Kx88,,0,0,missing_hero; no_products
mdl_case_cx47,case-cx47,Case,CX47,partial,400x72.5Kx74,,5,1,missing_hero
mdl_case_cx50,case-cx50,Case,CX50,partial,400x72.5Kx74,,3,0,missing_hero
mdl_case_cx50b,case-cx50b,Case,CX50B,partial,400x72.5Kx74,,5,3,missing_hero
mdl_case_cx55b,case-cx55b,Case,CX55B,partial,400x72.5Kx74,,6,4,missing_hero
mdl_case_cx55bmsr,case-cx55b-msr,Case,CX55BMSR,review,400x72.5Kx74,,0,0,missing_hero; no_products
mdl_case_cx57,case-cx57,Case,CX57,review,400x72.5Wx76,,0,0,missing_hero; no_products
mdl_case_cx57c,case-cx57c,Case,CX57C,ready,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx57c-hero.webp,2,0,
mdl_case_cx60c,case-cx60c,Case,CX60C,ready,400x72.5Wx76,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/case-cx60c-hero.webp,2,2,
mdl_case_cx65b,case-cx65b,Case,CX65B,review,400x72.5Kx74,,0,0,missing_hero; no_products
mdl_case_cx75sr,case-cx75sr,Case,CX75SR,partial,450x81Nx76,,3,3,missing_hero
