machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_ditch_witch_jt_2320,ditch-witch-jt-2320-drilling-machine,/pages/fitment/ditch-witch-jt-2320-drilling-machine,/metaobjects/model/ditch-witch-jt-2320-drilling-machine,300x52.5Nx78,active_v1,pass,
mdl_ditch_witch_jt_2321,ditch-witch-jt-2321-drilling-machine,/pages/fitment/ditch-witch-jt-2321-drilling-machine,/metaobjects/model/ditch-witch-jt-2321-drilling-machine,300x52.5Nx78,active_v1,pass,
mdl_ditch_witch_jt_2511,ditch-witch-jt-2511-drilling-machine,/pages/fitment/ditch-witch-jt-2511-drilling-machine,/metaobjects/model/ditch-witch-jt-2511-drilling-machine,230x72x39,active_v1,pass,
mdl_ditch_witch_jt_30,ditch-witch-jt-30-drilling-machine,/pages/fitment/ditch-witch-jt-30-drilling-machine,/metaobjects/model/ditch-witch-jt-30-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt_40,ditch-witch-jt-40-drilling-machine,/pages/fitment/ditch-witch-jt-40-drilling-machine,/metaobjects/model/ditch-witch-jt-40-drilling-machine,400x72.5Kx74,active_v1,pass,
mdl_ditch_witch_jt_5,ditch-witch-jt-5,/pages/fitment/ditch-witch-jt-5,/metaobjects/model/ditch-witch-jt-5,180x72x39,active_v1,pass,
mdl_ditch_witch_jt_520,ditch-witch-jt-520,/pages/fitment/ditch-witch-jt-520,/metaobjects/model/ditch-witch-jt-520,180x72x39,active_v1,pass,
mdl_ditch_witch_jt2520,ditch-witch-jt-2520-drilling-machine,/pages/fitment/ditch-witch-jt-2520-drilling-machine,/metaobjects/model/ditch-witch-jt-2520-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt2720,ditch-witch-jt-2720-mach-1-drilling-machine,/pages/fitment/ditch-witch-jt-2720-mach-1-drilling-machine,/metaobjects/model/ditch-witch-jt-2720-mach-1-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt860,ditch-witch-jt-860-drilling-machine,/pages/fitment/ditch-witch-jt-860-drilling-machine,/metaobjects/model/ditch-witch-jt-860-drilling-machine,,active_v1,pass,
mdl_ditch_witch_jt922,ditch-witch-jt-922,/pages/fitment/ditch-witch-jt-922,/metaobjects/model/ditch-witch-jt-922,,active_v1,pass,
mdl_ditch_witch_mx_27,ditch-witch-mx27,/pages/fitment/ditch-witch-mx27,/metaobjects/model/ditch-witch-mx27,300x52.5Nx78,active_v1,pass,
mdl_ditch_witch_mx_272,ditch-witch-mx272,/pages/fitment/ditch-witch-mx272,/metaobjects/model/ditch-witch-mx272,300x52.5Nx78,active_v1,pass,
mdl_ditch_witch_mx_35,ditch-witch-mx35,/pages/fitment/ditch-witch-mx35,/metaobjects/model/ditch-witch-mx35,300x52.5Nx84,active_v1,pass,
mdl_ditch_witch_mx_352,ditch-witch-mx352,/pages/fitment/ditch-witch-mx352,/metaobjects/model/ditch-witch-mx352,300x52.5x86,active_v1,pass,
mdl_ditch_witch_mx182,ditch-witch-mx182,/pages/fitment/ditch-witch-mx182,/metaobjects/model/ditch-witch-mx182,230x48x70,active_v1,pass,
mdl_ditch_witch_sk1050,ditch-witch-sk1050,/pages/fitment/ditch-witch-sk1050,/metaobjects/model/ditch-witch-sk1050,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk1550,ditch-witch-sk-1550,/pages/fitment/ditch-witch-sk-1550,/metaobjects/model/ditch-witch-sk-1550,250x72x52,active_v1,pass,
mdl_ditch_witch_sk500,ditch-witch-sk500,/pages/fitment/ditch-witch-sk500,/metaobjects/model/ditch-witch-sk500,180x72x39,active_v1,pass,
mdl_ditch_witch_sk600,ditch-witch-sk-600,/pages/fitment/ditch-witch-sk-600,/metaobjects/model/ditch-witch-sk-600,180x72x40,active_v1,pass,
mdl_ditch_witch_sk650,ditch-witch-sk-650,/pages/fitment/ditch-witch-sk-650,/metaobjects/model/ditch-witch-sk-650,180x72x42,active_v1,pass,
mdl_ditch_witch_sk750,ditch-witch-sk750,/pages/fitment/ditch-witch-sk750,/metaobjects/model/ditch-witch-sk750,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk752,ditch-witch-sk752,/pages/fitment/ditch-witch-sk752,/metaobjects/model/ditch-witch-sk752,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk755,ditch-witch-sk755,/pages/fitment/ditch-witch-sk755,/metaobjects/model/ditch-witch-sk755,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk800,ditch-witch-sk800,/pages/fitment/ditch-witch-sk800,/metaobjects/model/ditch-witch-sk800,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk850,ditch-witch-sk850,/pages/fitment/ditch-witch-sk850,/metaobjects/model/ditch-witch-sk850,230x72Kx44,active_v1,pass,
mdl_ditch_witch_sk900,ditch-witch-sk900,/pages/fitment/ditch-witch-sk900,/metaobjects/model/ditch-witch-sk900,230x72Kx44,active_v1,pass,
mdl_doosan_dx27z,doosan-dx27z,/pages/fitment/doosan-dx27z,/metaobjects/model/doosan-dx27z,300x52.5Nx80,active_v1,pass,
mdl_doosan_dx30z,doosan-dx30z,/pages/fitment/doosan-dx30z,/metaobjects/model/doosan-dx30z,300x52.5Nx84,active_v1,pass,
mdl_doosan_dx35,doosan-dx35,/pages/fitment/doosan-dx35,/metaobjects/model/doosan-dx35,300x52.5x86,active_v1,pass,
mdl_doosan_dx35_z7,doosan-dx35-z7,/pages/fitment/doosan-dx35-z7,/metaobjects/model/doosan-dx35-z7,300x52.5x86,active_v1,pass,
mdl_doosan_dx355,doosan-dx35-5,/pages/fitment/doosan-dx35-5,/metaobjects/model/doosan-dx35-5,300x52.5Nx84,active_v1,pass,
mdl_doosan_dx35z,doosan-dx35z,/pages/fitment/doosan-dx35z,/metaobjects/model/doosan-dx35z,300x52.5x86,active_v1,pass,
mdl_doosan_dx50k5,doosan-dx50k-5,/pages/fitment/doosan-dx50k-5,/metaobjects/model/doosan-dx50k-5,400x72.5Kx74,active_v1,pass,
mdl_doosan_dx55,doosan-dx55,/pages/fitment/doosan-dx55,/metaobjects/model/doosan-dx55,400x72.5Kx74,active_v1,pass,
mdl_doosan_dx55z,doosan-dx-55z,/pages/fitment/doosan-dx-55z,/metaobjects/model/doosan-dx-55z,400x72.5Kx74,active_v1,pass,
mdl_doosan_dx60r,doosan-dx60r,/pages/fitment/doosan-dx60r,/metaobjects/model/doosan-dx60r,400x72.5Wx76,active_v1,pass,
mdl_doosan_dx62r3,doosan-dx62r-3,/pages/fitment/doosan-dx62r-3,/metaobjects/model/doosan-dx62r-3,400x72.5Wx76,active_v1,pass,
