machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_asv_rcv,asv-rcv,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rcv85,asv-rcv-85,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_120f,asv-rt-120f,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_135f,asv-rt-135f,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_25,asv-rt25,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_asv_rt_30,asv-rt30,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_asv_rt_40,asv-rt40,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_asv_rt_50,asv-rt-50,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_60,asv-rt-60,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_65,asv-rt-65,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_75,asv-rt-75,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_rt_75_hd,asv-rt-75hd,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_sc_50,asv-sc-50,0,1,1,3,1,0,0,0,n/a,review,no_track_size_options
mdl_asv_sr80,asv-sr-80,0,2,1,2,0,0,0,0,n/a,review,no_track_size_options
mdl_asv_vt_70,asv-vt-70,0,1,1,1,0,0,0,0,n/a,review,no_track_size_options
mdl_bobcat_220,bobcat-220,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_bobcat_225,bobcat-225,1,1,1,1,0,0,0,0,n/a,pass,
mdl_bobcat_231,bobcat-231,1,3,1,3,0,0,0,0,n/a,pass,
mdl_bobcat_320,bobcat-320,1,0,0,1,1,0,0,0,n/a,review,no_v2_track_products
mdl_bobcat_320d,bobcat-320d,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_bobcat_320e,bobcat-320e,0,0,0,0,0,0,0,0,n/a,fail,no_track_size_options;no_v2_track_products;no_uc_products
mdl_bobcat_321,bobcat-321,0,0,0,2,1,0,0,1,n/a,review,no_track_size_options;no_v2_track_products
